Motivo del viaje;Total;Año;Meses_num;Meses
Otros motivos;1.007.021,00;2020;5;mayo
Otros motivos;1.007.021,00;2020;4;abril
Otros motivos;1.007.021,00;2020;3;marzo
Otros motivos;803.991,00;2020;2;febrero
Otros motivos;385.013,00;2020;1;enero
Otros motivos;5.123.547,00;2019;12;diciembre
Otros motivos;4.736.712,00;2019;11;noviembre
Otros motivos;4.387.643,00;2019;10;octubre
Otros motivos;4.005.834,00;2019;9;septiembre
Otros motivos;3.622.250,00;2019;8;agosto
Otros motivos;3.142.170,00;2019;7;julio
Otros motivos;2.670.361,00;2019;6;junio
Otros motivos;2.243.149,00;2019;5;mayo
Otros motivos;1.786.923,00;2019;4;abril
Otros motivos;1.293.514,00;2019;3;marzo
Otros motivos;816.455,00;2019;2;febrero
Otros motivos;413.090,00;2019;1;enero
Otros motivos;5.612.005,00;2018;12;diciembre
Otros motivos;5.149.730,00;2018;11;noviembre
Otros motivos;4.821.343,00;2018;10;octubre
Otros motivos;4.404.687,00;2018;9;septiembre
Otros motivos;3.966.803,00;2018;8;agosto
Otros motivos;3.326.962,00;2018;7;julio
Otros motivos;2.714.054,00;2018;6;junio
Otros motivos;2.160.345,00;2018;5;mayo
Otros motivos;1.646.802,00;2018;4;abril
Otros motivos;1.163.500,00;2018;3;marzo
Otros motivos;698.798,00;2018;2;febrero
Otros motivos;374.254,00;2018;1;enero
Otros motivos;6.060.956,00;2017;12;diciembre
Otros motivos;5.639.102,00;2017;11;noviembre
Otros motivos;5.301.821,00;2017;10;octubre
Otros motivos;4.854.068,00;2017;9;septiembre
Otros motivos;4.438.609,00;2017;8;agosto
Otros motivos;3.804.232,00;2017;7;julio
Otros motivos;3.093.874,00;2017;6;junio
Otros motivos;2.565.682,00;2017;5;mayo
Otros motivos;1.952.567,00;2017;4;abril
Otros motivos;1.300.430,00;2017;3;marzo
Otros motivos;825.709,00;2017;2;febrero
Otros motivos;440.081,00;2017;1;enero
Otros motivos;6.323.567,00;2016;12;diciembre
Otros motivos;5.787.222,00;2016;11;noviembre
Otros motivos;5.357.740,00;2016;10;octubre
Otros motivos;4.866.126,00;2016;9;septiembre
Otros motivos;4.387.820,00;2016;8;agosto
Otros motivos;3.779.622,00;2016;7;julio
Otros motivos;3.202.067,00;2016;6;junio
Otros motivos;2.682.802,00;2016;5;mayo
Otros motivos;2.128.566,00;2016;4;abril
Otros motivos;1.422.453,00;2016;3;marzo
Otros motivos;930.065,00;2016;2;febrero
Otros motivos;506.662,00;2016;1;enero
